lifeline_index,feature_index,neuron_index,discrepancy
0,27,8,0.18557520342838627
0,28,0,0.06311219096011525
0,28,1,0.02263914772197483
0,28,2,0.22214907037125692
0,28,3,0.023880723770220692
0,28,4,0.241042762197002
0,28,5,0.2519918968338
0,28,6,0.04571638805232766
0,28,7,0.027062631677899646
0,28,8,0.21314997995993784
0,29,0,0.05165107157586459
0,29,1,0.009654481049440578
0,29,2,0.14937446370219468
0,29,3,0.013793990200013772
0,29,4,0.31604098707419787
0,29,5,0.23556310472033512
0,29,6,0.034144588168384664
0,29,7,0.05460076839918483
0,29,8,0.21306675386098844
0,30,0,0.06162370313731821
0,30,1,0.0026734737442862277
0,30,2,0.13000176482568693
0,30,3,0.006681192378652763
0,30,4,0.2857116001717956
0,30,5,0.25533360610150085
0,30,6,0.03055960018570451
0,30,7,0.06265204812522669
0,30,8,0.18908613520915613
0,31,0,0.05963754138034635
0,31,1,0.009992680589049858
0,31,2,0.1753545485219243
0,31,3,0.009554956125494292
0,31,4,0.3153635434697497
0,31,5,0.2621647478738318
0,31,6,0.031996754509179305
0,31,7,0.03153210175567225
0,31,8,0.19977915583063102
0,32,0,0.04660328116272654
0,32,1,0.008835073408978983
0,32,2,0.18914587515622253
0,32,3,0.02012779873649953
0,32,4,0.2891092606328996
0,32,5,0.28633433669042524
0,32,6,0.03531164283353792
0,32,7,0.05744412197868682
0,32,8,0.23378675146698244
0,33,0,0.08952406104653252
0,33,1,0.008321661946316922
0,33,2,0.20578790529394198
0,33,3,0.0060237043516749795
0,33,4,0.2424392097215745
0,33,5,0.28481640764337546
0,33,6,0.028812831707338893
0,33,7,0.10942172514794181
0,33,8,0.14269805733355628
0,34,0,0.04819253057179616
0,34,1,0.008120706063985272
0,34,2,0.16198889346003284
0,34,3,0.008910748623546941
0,34,4,0.2129408353196459
0,34,5,0.26646432883976845
0,34,6,0.03980974346631382
0,34,7,0.04278423812243541
0,34,8,0.21357107816804932
0,35,0,0.05371969891431048
0,35,1,0.011062636492935582
0,35,2,0.17993176043651277
0,35,3,0.011815092541242347
0,35,4,0.20265380024215202
0,35,5,0.240897742406701
0,35,6,0.013802467085223638
0,35,7,0.04746362589494607
0,35,8,0.19958839008720228
0,36,0,0.10123358394646263
0,36,1,0.0248430944801839
0,36,2,0.23326810618759294
0,36,3,0.015916258234737617
0,36,4,0.21395792719529524
0,36,5,0.38468623783547073
0,36,6,0.02523876318894769
0,36,7,0.10717463748446063
0,36,8,0.09332009458637938
0,37,0,0.30496403817985707
0,37,1,0.4266474927131878
0,37,2,0.6898726307896698
0,37,3,0.32442205378272887
0,37,4,0.4762593394081434
0,37,5,0.6521742187024581
0,37,6,0.560952254189114
0,37,7,0.3920406459309885
0,37,8,0.5887097275031852
0,38,0,0.23652860805513498
0,38,1,0.1752787232718542
0,38,2,0.5302156630427206
0,38,3,0.1583671543956453
0,38,4,0.21587227777267962
0,38,5,0.4206952269217832
0,38,6,0.18339310632854136
0,38,7,0.14949843419634876
0,38,8,0.28830450754085946
0,39,0,0.1232308606523326
0,39,1,0.03235182777531382
0,39,2,0.27577402548364094
0,39,3,0.022432793432601166
0,39,4,0.3035492342464584
0,39,5,0.4264904390937085
0,39,6,0.038585579208704
