0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0.41817904,-0.9527743,-0.6934328,-0.17686467,-0.8193014,0.13863985,-0.61336374,-0.93770784,0.10998972,-0.35654482,-0.27312568,-0.5174057,-0.685813,0.61361307,0.96877074,-0.7877959,-0.5971419,-0.17281216,-0.046155397,-0.855588,-0.7963346,-0.32386327,0.35250306,0.8688476,0.26462016,-0.6040129,0.62261075,-0.59706914,0.24966863,-0.5881925,-0.40241233,0.85394007,-0.27661088,-0.72238517
-0.6840229,-0.96729106,0.7145493,-0.9270879,-0.4686134,0.40191877,-0.037600618,-0.20796126,0.2728715,-0.9428661,0.053588543,0.84276676,-0.32604453,0.5361329,0.11609537,0.52817017,0.8396941,0.017034527,-0.7794833,-0.39192882,0.6238791,-0.3091688,0.4035777,0.74501425,0.744203,-0.8978184,0.7990773,0.78263944,0.51041955,0.20486462,-0.77710223,0.27991208,0.54155636,-0.11568096
0.5280268,0.8864939,-0.60623074,0.8294935,0.8482279,-0.864974,-0.74125165,0.75885075,0.7359809,0.3819772,-0.016594881,0.60192704,0.6929398,-0.2102925,-0.5151818,-0.32682052,0.030982379,0.6258635,-0.45790562,0.75561535,-0.35369343,-0.4766028,-0.60909694,0.637732,-0.4766157,-0.22097282,-0.50380546,0.72146845,-0.7400474,-0.057866998,0.06487528,0.5651843,-0.7906708,0.7175045
0.6102147,-0.25149533,0.8222846,-0.7557123,-0.6426284,0.31880853,-0.284171,-0.17183176,0.41532302,0.3825007,-0.34541097,0.24588832,0.2966941,0.41591877,0.40800795,0.767291,0.4386426,0.73607594,-0.51263463,0.39675707,0.17455125,-0.33353388,0.54202956,0.49569064,0.81859356,0.15403882,-0.7021297,-0.85145026,-0.16602665,0.5198918,0.42790958,0.76166415,-0.6440227,-0.73798925
-0.8192635,-0.88093513,0.09306318,-0.2044887,0.6398559,0.65603095,0.1931666,0.43210027,-0.31716192,-0.61779755,0.72719914,-0.13168481,-0.35207635,0.27009135,-0.059867628,0.17805924,0.5088183,-0.80646175,-0.96464,-0.39715695,0.78406763,-0.110681355,0.08994807,0.84398806,0.47001207,-0.5111323,0.005845987,0.8325033,-0.589559,-0.73590904,0.38982603,-0.58111507,0.8805039,-0.31327614
0.5421599,-0.14282279,-0.4636697,-0.5372061,0.8753917,-0.60557526,-0.093775176,0.8687619,-0.31117597,-0.90038246,-0.5704446,-0.6463743,-0.34480947,0.41775233,-0.5685796,-0.7590234,0.87488735,-0.12883395,-0.09155791,-0.72739416,0.39720735,-0.5494326,-0.80156434,-0.001602529,0.40717968,-0.6373721,0.5810706,0.7266102,0.788726,0.027233476,0.25507557,-0.4325321,-0.5155425,0.5231768
-0.5211296,-0.9596684,0.027467625,-0.7396062,-0.40735805,0.68834364,-0.52657944,-0.45186335,-0.26692963,-0.5266046,0.52966475,0.22219361,-0.3518917,0.41084284,-0.37976238,0.11154078,0.6444173,-0.6802317,-0.9195804,-0.24679704,0.7866663,-0.17990847,-0.08756408,0.694785,0.21600273,-0.60035014,0.230091,0.5458988,-0.065464385,0.07937507,-0.33711654,-0.27396992,0.6915967,-0.49655113
0.5333959,-0.2494747,0.8115298,-0.68257654,-0.7318881,0.5397317,-0.56590146,-0.65152246,-0.3123996,0.84200156,0.066193335,-0.1677765,-0.20331807,0.36868358,-0.3611058,0.84870905,0.50931805,0.4473544,-0.59249794,0.7270665,0.7512258,0.47153223,0.37186533,-0.26891243,0.37541196,0.48511443,-0.4174209,-0.8996112,-0.24101615,0.7939058,0.35698453,0.21323547,-0.39368802,-0.26810557
-0.9166863,-0.17695872,-0.6361502,-0.87838125,-0.5500905,0.8880664,0.5241052,-0.89527684,0.69657737,-0.45252618,0.1069585,-0.027974358,0.68309635,-0.6405816,0.12538306,0.80432934,-0.3246995,-0.47068042,-0.6799795,-0.74315685,0.040083036,-0.82039326,0.17301686,0.68235,-0.17092803,-0.6365411,0.86994267,0.28865877,0.19289951,-0.5748107,-0.66745484,-0.017071942,-0.0010784413,0.52153784
0.8506494,0.973993,0.06037738,-0.04122125,0.49774274,-0.6552507,-0.30696383,-0.76404995,0.72210366,0.7925253,-0.01844724,-0.15075798,-0.8752231,-0.9038846,-0.45767027,0.710762,-0.8993638,-0.2222123,0.26472297,0.4156246,0.19681714,0.4030557,0.54931176,-0.74876136,-0.6653433,-0.43831363,0.13702324,-0.4063098,-0.24277063,-0.84042364,-0.77004874,0.76031613,-0.6802147,0.8744155
