64.0,,18.0,
65.0,,20.0,
66.0,,21.0,
68.0,,22.0,
73.0,,24.0,
74.0,,25.0,
75.0,,28.0,
78.0,,29.0,
79.0,,30.0,
81.0,,31.0,
83.0,,34.0,
85.0,,37.0,
86.0,,38.0,
87.0,,42.0,
88.0,,43.0,
89.0,,44.0,
90.0,,45.0,
91.0,,47.0,
93.0,,48.0,
94.0,,49.0,
96.0,,50.0,
98.0,,52.0,
100.0,,53.0,
4.0,,54.0,
6.0,,55.0,
11.0,,56.0,
13.0,,57.0,
14.0,,58.0,
19.0,,59.0,
23.0,,60.0,
26.0,,64.0,
27.0,,65.0,
32.0,,67.0,
33.0,,70.0,
35.0,,71.0,
36.0,,72.0,
39.0,,73.0,
40.0,,75.0,
41.0,,76.0,
46.0,,78.0,
51.0,,79.0,
61.0,,81.0,
62.0,,82.0,
63.0,,83.0,
66.0,,84.0,
68.0,,85.0,
69.0,,87.0,
74.0,,90.0,
77.0,,93.0,
80.0,,94.0,
86.0,,97.0,
88.0,,98.0,
89.0,,99.0,
91.0,,,
92.0,,,
95.0,,,
96.0,,,
100.0,,,
