0,1,2,3,4,5,6,7,8,9
0.16313882,-0.38533738,0.10653541,-0.82606506,-0.0038104234,-0.1193129,-0.7784929,0.32855904,-0.108848065,-0.14796269
0.225367,-0.39158988,0.11375801,-0.8216088,-0.0051046405,-0.12817854,-0.8039196,0.25368598,-0.020638343,-0.113202594
0.24436775,-0.37693056,0.117191024,-0.8104872,-0.0067794533,-0.12237366,-0.78899366,0.25991234,-0.018985705,-0.10285962
0.21465279,-0.3884361,0.10177615,-0.80819654,-0.00849344,-0.12893891,-0.76226693,0.31113198,-0.0664373,-0.13968343
0.28616628,-0.34335062,0.14418893,-0.84562975,-0.0068629906,-0.12936568,-0.8332445,0.19484201,-0.0036234683,-0.11174527
0.20150223,-0.39637175,0.1046254,-0.81398726,-0.0050467574,-0.12509468,-0.7850471,0.28990424,-0.045863643,-0.12264704
0.22751406,-0.38533658,0.104627,-0.8129834,-0.006754568,-0.114442006,-0.76871085,0.30431893,-0.048374694,-0.12947784
0.2648,-0.3379454,0.15934937,-0.83857477,-0.0012590595,-0.111091115,-0.8475562,0.1833564,-0.009858771,-0.089512005
0.17202188,-0.39069277,0.10167193,-0.82075584,-0.0062753423,-0.12680992,-0.778003,0.31996074,-0.10882249,-0.14302248
0.23770356,-0.38614854,0.10514303,-0.81610936,-0.008267135,-0.12045538,-0.7745916,0.29933232,-0.037701864,-0.12649497
0.26413113,-0.37067473,0.1254769,-0.81814224,-0.0035533193,-0.115836896,-0.8036346,0.24407916,-0.01553521,-0.090266086
0.19506954,-0.3907094,0.09967913,-0.80553347,-0.0047513577,-0.15366162,-0.7603707,0.30132654,-0.055566642,-0.13894388
0.15709057,-0.40324754,0.10119388,-0.8232559,-0.0023203841,-0.12622826,-0.7875902,0.30630013,-0.09060323,-0.13088962
0.17607443,-0.40174308,0.10147771,-0.8151777,-0.0041510095,-0.124630906,-0.7783135,0.31100568,-0.09218271,-0.12487104
0.15256733,-0.38864705,0.10356514,-0.82345915,-0.0026455666,-0.122670464,-0.7791658,0.323311,-0.10415345,-0.14052786
0.25019726,-0.37933576,0.111069925,-0.8092714,-0.0076934365,-0.122596435,-0.7775112,0.27099302,-0.022953453,-0.11466905
0.24762203,-0.37653735,0.1079363,-0.8002546,-0.009094798,-0.13369703,-0.7676529,0.27940127,-0.024710199,-0.11917978
0.22397907,-0.3476809,0.19209771,-0.85188824,0.00076594844,-0.09327184,-0.8753353,0.14166896,-0.011772353,-0.068447314
0.18950118,-0.37236515,0.110700436,-0.8308622,-0.007905875,-0.08748632,-0.7837487,0.3391223,-0.13827504,-0.15238014
