0,1,2,3,4,5,6,7,8,9
-0.29794815,0.32065618,-0.39789432,0.4455867,0.46671957,-0.37674707,-0.30181807,-0.2791336,0.61555976,-0.8580123
-0.17785986,0.19106779,-0.2731485,0.33278504,0.33750597,-0.22587417,-0.14531536,-0.11499657,0.513788,-0.81169754
-0.2272582,0.23607501,-0.33420566,0.3675209,0.40007502,-0.33236912,-0.2504386,-0.22813384,0.45060804,-0.81290704
-0.039996266,0.035428178,-0.095716566,0.12288013,0.14897862,-0.030149512,0.026464062,0.026007956,0.18066944,-0.69650793
-0.034119014,0.023157563,-0.040200718,0.07908857,0.15120085,-0.10610578,-0.03580079,-0.003885936,0.05840033,-0.6109249
-0.02379809,0.019321075,0.0042381356,0.054710522,0.13506423,-0.11030562,-0.021571197,-0.005621471,-0.010278414,-0.5749204
-0.026807474,0.026729295,0.024482574,0.049434222,0.13844617,-0.122261666,-0.022497032,-0.012973366,-0.04494926,-0.5471839
0.004872467,0.0067784665,0.06770105,0.004067677,0.1088044,-0.077630326,0.019253626,0.016832354,-0.13298865,-0.50348204
0.35642117,-0.17393121,0.23477635,-0.34660646,-0.15719847,0.3490691,0.36507457,0.32211512,-0.57535666,-0.36443263
0.10615426,-0.09365067,0.27653423,-0.17401426,-0.070479915,0.016593317,0.03806736,0.12492187,-0.31245956,-0.28283197
0.08712075,-0.08481483,0.26066735,-0.13540225,-0.03144813,0.020064086,0.07103407,0.12278777,-0.23696125,-0.31261623
0.021025209,-0.03876115,0.206331,-0.035571963,0.033780653,-0.07476716,0.01922751,0.070158355,-0.12422961,-0.3397015
-0.06382564,0.045376997,0.059788838,0.0909021,0.13523485,-0.19664317,-0.06496417,-0.020405868,0.0023070714,-0.44003356
-0.15503733,0.15672745,-0.12052991,0.21160914,0.25813398,-0.30584383,-0.16600692,-0.12813827,0.10213745,-0.5677216
0.0033309076,0.040291604,0.03707534,0.078531064,0.10615729,-0.047536943,0.027430283,0.017040504,-0.12553295,-0.48927504
0.24659032,-0.10788407,0.21002136,-0.19698861,-0.08949499,0.2517376,0.24502327,0.21690087,-0.4722588,-0.32687303
0.073734365,-0.07007953,0.24229987,-0.10040041,-0.027501965,-0.0002615969,0.037452396,0.10356007,-0.27043352,-0.2832368
0.14171554,-0.117267646,0.25912094,-0.16504835,-0.06041908,0.09786367,0.14923489,0.1829172,-0.35344583,-0.27506077
0.12400543,-0.12239963,0.28483337,-0.1633952,-0.061117683,0.0703557,0.15218776,0.19357058,-0.33739996,-0.24374022
0.12590374,-0.13349381,0.3213628,-0.17938282,-0.07759555,0.09932451,0.16604476,0.20940985,-0.31621107,-0.21803904
0.1504812,-0.1566852,0.38379475,-0.21969563,-0.1190548,0.17901753,0.18454756,0.23728491,-0.29085732,-0.17554389
0.043437313,-0.11151807,0.34632406,-0.119545855,-0.052915145,-0.0076790275,0.047997404,0.157685,-0.12601177,-0.19856216
0.09363448,-0.13567282,0.32910064,-0.15421885,-0.06850022,0.09128302,0.12887466,0.19905016,-0.17398493,-0.19390635
0.07142457,-0.12568375,0.30595607,-0.1326417,-0.048405286,0.031578727,0.098530136,0.18260919,-0.15865472,-0.19721197
-0.035223223,-0.0381242,0.13241787,-0.007964759,0.06306958,-0.18026946,-0.003325556,0.08994732,-0.06988372,-0.29998854
0.10692681,-0.10805463,0.14243048,-0.11692627,-0.002367656,0.028386084,0.18510972,0.19682188,-0.3167153,-0.2857546
0.02719703,-0.06929404,0.10797551,-0.071002744,0.04886672,-0.11794228,0.089654125,0.13390513,-0.28100705,-0.3061525
