0,1,2,3,4,5,6,7,8
0.31506518,-0.40421474,-0.06988888,0.58948886,0.75830036,-0.5182536,-0.42585528,-0.3838251,0.56070316
0.5933166,-0.5553463,-0.37212595,0.63014036,0.7302021,-0.68379974,-0.5402069,-0.32081476,0.44476038
0.44877627,-0.5174866,0.053421013,0.6646392,0.7543063,-0.3989253,-0.43471244,-0.2945945,0.6547121
0.27454615,-0.44227558,0.05320494,0.6312467,0.7634609,-0.26802638,-0.37835982,-0.3428584,0.6296208
0.30351958,-0.39369136,-0.09911265,0.5885668,0.75711155,-0.4866449,-0.41085103,-0.37894914,0.54436356
0.15069725,-0.31243357,0.062502205,0.54140353,0.76448137,-0.50931966,-0.4106835,-0.42468593,0.57421064
0.13557597,-0.25700372,0.03167861,0.51126236,0.7635351,-0.5667929,-0.4237809,-0.46373546,0.5311468
-0.04577551,-0.110439435,0.17849754,0.4476853,0.76889586,-0.5508832,-0.41296414,-0.51286536,0.5240955
-0.059707515,0.0071173357,0.17189753,0.40293097,0.7642951,-0.62087274,-0.42582363,-0.5472412,0.42479503
-0.047171794,0.046323404,0.20898663,0.39110032,0.7591273,-0.6624506,-0.43232828,-0.5734741,0.3818143
-0.10590492,0.101602696,0.29101524,0.3782023,0.7611453,-0.65048146,-0.4226671,-0.5997323,0.3820047
-0.110787906,0.15021867,0.30592853,0.36640373,0.7583817,-0.6600225,-0.42459637,-0.61388534,0.32488564
-0.13108137,0.18683228,0.34595367,0.3579607,0.7561963,-0.6629363,-0.42213488,-0.62838024,0.2938345
-0.21319528,0.25242174,0.42891845,0.33599666,0.7596104,-0.63703865,-0.4095578,-0.6470022,0.2838566
-0.22385909,0.30102992,0.45681965,0.31754223,0.755705,-0.6469862,-0.41273588,-0.65529555,0.20445463
-0.21274358,0.31459832,0.48244798,0.3148295,0.7494368,-0.65815836,-0.41624865,-0.6646323,0.1541312
-0.20221299,0.3097279,0.50443995,0.32162738,0.7453224,-0.65501964,-0.41767648,-0.6735083,0.13735166
-0.20387429,0.30341628,0.52466273,0.32832748,0.74449956,-0.638925,-0.4167439,-0.6816403,0.13604027
-0.14618854,0.2747927,0.50335765,0.34411272,0.73664975,-0.65001065,-0.4283164,-0.6801718,0.098723784
-0.15501542,0.251181,0.5189527,0.35902894,0.7387706,-0.62440526,-0.424004,-0.68897915,0.1364455
-0.17159174,0.24926862,0.52769685,0.3625005,0.742121,-0.59665227,-0.42152894,-0.69226056,0.14778028
-0.18404858,0.25682667,0.5353602,0.3594088,0.7435228,-0.58141184,-0.42031187,-0.6943683,0.13873081
0.0068258685,0.17066137,0.42151073,0.3924713,0.7174274,-0.66270435,-0.45665365,-0.67256397,0.030115183
-0.12973838,0.15311736,0.51473856,0.41142094,0.7388683,-0.5610666,-0.42311242,-0.6999022,0.21885732
-0.15835974,0.19460315,0.5001199,0.39532897,0.7445022,-0.53559506,-0.4240269,-0.691384,0.18552701
-0.1585403,0.2194826,0.4947548,0.38070127,0.7424246,-0.5607617,-0.4266747,-0.68877995,0.14011031
